NAME,START TIME,END TIME,ROOM,TYPE,DESCRIPTION,IMAGE
Sean Nicholas Savage,12:30,01:15,Main Stage,Music,"<p>Sean Nicholas Savage is a Canadian Singer and Balladeer. In 2014 he released&nbsp;<em>Bermuda Waterfall</em>. Once a staple spectacle performance in Montreal’s all night illegal party scene, Savage has since taken to consistent touring and producing wherever he may be, in the past two years. Throughout Europe and North America, his dates vary from subdued solo performances to full band power ballad shows and in between, each incarnation renowned as captivating and inspirational.</p><p><strong style=""background-color:rgba(255, 255, 255, 0); line-height:1.68em"">Music:&nbsp;</strong><a target=""_blank"" style=""line-height: 1.68em; background-color: rgba(255, 255, 255, 0);"" href=""http://www.seannicholassavage.com"">Website</a><span style=""background-color:rgba(255, 255, 255, 0); line-height:1.68em""> /&nbsp;</span><a target=""_blank"" style=""line-height: 1.68em; background-color: rgba(255, 255, 255, 0);"" href=""https://www.facebook.com/pages/Sean-Nicholas-Savage/193104860732288"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547298f9e4b073044c15ec42/1416796409701/?format=300w
Wrong Hole,12:00,12:30,Conversation Room,Music,"<p dir=""ltr""><span>Wrong Hole started with Andrew and Nick trying to start a two piece because they wanted the option of taking the bus to&nbsp;shows. Soon after, Jon joined and now they sound like what they're supposed to: a scientifically sloppy and idiotic grouping of fun noises. Debut LP&nbsp;</span><em>2012</em><span>&nbsp;out on Pleasence in North America and P-Trash/Cut The Cord/Prugelprinz in Europe.</span></p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/wrongholetoronto"">Facebook&nbsp;</a>/&nbsp;<a target=""_blank"" href=""http://wrongholemusic.bandcamp.com"">Bandcamp</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54729922e4b08d2565e195a9/1416796450482/?format=300w
Wish,10:00,10:30,Conversation Room,Music,"<p>Wish is spawned from the mind of 23 year old Kyle Connolly. Having accumulated a wealth of material in the past few years while recording and performing in Milk Lines, Breeze, and Beliefs, Kyle assembled a line-up of musicians and began recording several volumes of his own work at Toronto’s Candle Recording Studio. Joining Kyle are Peter Gosling (Decades, Lobby) on drums, Emily Bitze (Milk Lines) on bass, and long time friend/musical collaborator Josh Korody (Beliefs, Breeze) on guitar.</p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/pages/WISH/208104219342315"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5472990ee4b087a17997881d/1416796430729/?format=300w
Tessa Danielles,,,Stairwell,Art,"<p><span>Tessa Danielles</span><span>&nbsp;is a child of the woods and a dweller of city. She likes music and drawing. You can see her work at&nbsp;<a target=""_blank"" href=""http://tessadanielles.tumblr.com"">tessadanielles.tumblr.com</a>.</span></p><p><strong>Art:&nbsp;</strong><a target=""_blank"" href=""http://tessadanielles.tumblr.com"">Website</a></p><p> </p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54736367e4b0866193a0e297/1416848232688/?format=300w
Hugh Mater,,,Conversation Room,Art,"<p dir=""ltr"">Hugh Mater works in sculpture, paint and print. He graduated from NSCAD University with a Bachelor of Fine Art in Halifax NS, where he exhibited his “New Paintings” show at Anna Leonowens Gallery in the spring of 2013. He is a regular contributor to various publications such as GRAY magazine from Vancouver and Go Home Print in Toronto and self publishes small-press comics, zines and artist books from time to time.</p><p><strong>Art:</strong>&nbsp;<a target=""_blank"" href=""http://hughmater.blogspot.ca"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54736280e4b0866193a0de4a/1416848001282/hugh-mater.jpg?format=300w
Daniel Rotzstain,,,Studio 3,Performance,"<p><em>Geomancy.</em>&nbsp;<span>Daniel Rotsztain&nbsp;is the Urban Geographer. He is a writer, artist and cartographer trying to untangle the threads of Toronto’s history, geology, ecology and culture. What can you learn about yourself from overlaying these threads with the pathways of your life? Stop by Geomancy to find out.</span></p><p><strong>Art:&nbsp;</strong><a target=""_blank"" href=""https://theurbangeographer.wordpress.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774d19e4b0a3a6c5b6fe5b/1417104666030/daniel.jpg?format=300w
Long Winter Arcade,,,Main Hall,Arcade,"<p>Curated by <a target=""_blank"" href=""https://bentomiso.com"">Bento Miso</a></p><p><a target=""_blank"" href=""http://fatetectonics.com"">Fate Tectonics</a> - Golden Gear Games - World Building Puzzle Game</p><p>The Rookery - Rocket 5 Studios - Four Player Aerial Jousting</p><p><a target=""_blank"" href=""http://arnulfo.itch.io/beatpatrol"">Beat Patrol</a> - Daniel Orellana -&nbsp;Musical Shooter Hybrid Action Game</p><p><span>Bento Miso, a not-for-profit collaborative feminist workspace for independent creative people to work and play, has been actively participating in Toronto’s vibrant video game development scene for the past three years. For this volume of Long Winter, we’re showcasing several games made by members and friends of our community, including Golden Gear Games’ Fate Tectonics (a world building puzzle game), Daniel Orellana’s Beat Patrol (hybrid musical shooter action), and Rocket 5 Studio’s The Rookery (4 player aerial jousting).</span></p><p><strong>Video Games:</strong>&nbsp;<a target=""_blank"" href=""https://bentomiso.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/548a50f3e4b0233b56ae2d9b/1418350836000/arcade.jpeg?format=300w
Long Night with Vanessa Dunn,09:30,10:30,Blk Box,Talk,"<p>This month LONG NIGHT is being guest-hosted by Vanessa Dunn of <a href=""http://vaghalen.com"">Vag Halen</a>.&nbsp;The all-female lineup of guests include: singer/performer <a target=""_blank"" href=""http://bonjay.net"">Alanna Bonjay Stuart</a>, singer <a target=""_blank"" href=""http://lidopimienta1.bandcamp.com"">Lido Pimienta</a> and dancer <a target=""_blank"" href=""http://www.ariaevans.net"">Aria Evans</a>. Plus house band <a target=""_blank"" href=""http://thebicycles.bandcamp.com"">The Bicycles</a>!</p><p><strong>Talk Show</strong></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774ec2e4b0464e56cde6b1/1417105091050/long_night.jpg?format=300w
Roxanne Luchak,,,Studio 3,Art,"<p dir=""ltr"">Roxanne Luchak is a multi-media video artist who lives and works in Toronto. &nbsp;Roxanne graduated from OCADU in integrated media and for the past 10 years has produced projection design for art shows, music events, art installations and most recently Theatre. &nbsp;Always expanding her creative platform and exploring new technology Roxanne continues to develop new methods of transforming spaces through projection.</p><p><strong>Projections:</strong>&nbsp;<a target=""_blank"" href=""http://www.roxanneluchak.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774ec7e4b0464e56cde6c3/1417105095725/roxanne.JPG?format=300w
Ben Kamino & Christopher Willis,09:30,10:30,Apartment,Dance,"<p><em>Dark. Meaningless. Touch.</em> A dance towards a space beyond togetherness. Kamino &amp; Willes invite you [through-touch] into their public research towards a scenography of feeling.</p><p><strong>Dance:</strong>&nbsp;<a target=""_blank"" href=""http://www.dwyc.ca/benjamin-kamino"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774ed0e4b0464e56cde6da/1417105104603/benkamino.jpeg?format=300w
Yes Yes Y'all DJs,11:00,02:00,Apartment,DJ,"<p>YES YES Y'ALL is a queer hip hop/dancehall/rnb jam and they're running House Party.</p><p><strong>DJs:&nbsp;</strong><a target=""_blank"" href=""https://twitter.com/yesyesyall416"">Twitter</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://www.facebook.com/groups/52141184423"">Facebook</a></p><p> </p><p> </p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774ed5e4b0464e56cde6e7/1417105109803/yesyes.jpg?format=300w
DJ Cell Memory,01:15,02:00,Main Stage,DJ,"<p>Keeping things going late into the night.</p><p><strong>DJs: </strong><a href=""https://soundcloud.com/cell-memory"">Soundcloud</a>&nbsp;/&nbsp;<a target=""_blank"" href=""https://www.facebook.com/cellmemory"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54774ee6e4b04456c81d8713/1417105126169/cell_memory.jpg?format=300w
Henri Faberge,,,Everywhere,Performance,"<p><span>It's 1904-ish, somewhere not unlike England. The cadets from Boyce Naval Academy are on shore leave, and jaded aristocrat Henri Fabergé is getting his first taste of the bohemian art scene...so much so that he might jump ship and enroll at nearby Hart Art College. Steer clear if you see a bar brawl, but feel free to join in one of their boisterous singalongs. Be sure to catch their Feint of Hart pseudo-holiday special ""</span><em>Crisis At St Creskins</em><span>"" this weekend at the Campbell House Museum!</span></p><p><strong>Art: </strong>Website</p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5477522fe4b00987aeddc361/1417105967545/henri.jpeg?format=300w
Amelia Maher,,,Utility Closet,Performance,"<p><em>Vinyl Tarot.&nbsp;</em><span>Amelia Merhar is a Yukon-based artist whose musical installations and interactive art explore whatever issues she is working through that year. From singing beer-filled breasts to spontaneous song booths, it's always pretty fun though.&nbsp;</span>Vinyl Tarot is a &nbsp;working tarot deck made out of records that examines how music influences our lives by perpetuating that influence. Tom Waits is Judgement, Billy Joel is the Death Card, and Aretha Franklin is the High Priestess... come by to get a three-card reading!&nbsp;</p><p><strong>Art:&nbsp;</strong><a target=""_blank"" href=""http://ameliamerhar.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/54820177e4b0e57e2f00a685/1417806200920/blank.jpg?format=300w
Graham Krenz,,,Main Hall,Art,"<p><span>Sleeping through winter, whether you're alone or by yourself, is a waste of time. Throw away your pillows and you'll see hibernation accomplishes nothing.</span></p><p><strong>Art</strong>: Website</p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5485bad6e4b0395ca99cef17/1418050262207/blank.jpg?format=300w
Max Veytsman,,,Studio 3,Art,"<p>A video collage created from the rhythms of movie piracy. The collage shows film scenes as they are being downloaded from the BitTorrent network along with the geospatial locations of the downloaders. It brings attention to the fact that our media choices are constantly being surveilled, whether it’s pirated it or not. In the spirit of piracy of all forms of media, &nbsp;this work is a remix of The Pirate Cinema by Nicolas Maigret. Max is a hacker experimenting with visual forms. He’s interested in security, privacy, and data visualization.</p><p><strong>Art: </strong><a target=""_blank"" href=""http://ontoillogical.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547777dce4b06dd3acaa6710/1417115612687/blank.jpg?format=300w
Penny Lou Lou Sweets and Treats,,,Main Hall,Food,"<p><span>Traditional Hong Kong Bubble Cakes with a modern twist!&nbsp; Hot and crispy on the outside, soft and chewy on the inside. Each Bubble Cakes is served with various toppings and dips!</span></p><p><strong>Food:&nbsp;</strong><a target=""_blank"" href=""http://pennyloulou.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547ca6b7e4b030244ba98477/1417455288061/pennylou.jpg?format=300w
Zoe Heyn-Jones,,,Stairwell,Film,"<p dir=""ltr""><em>Gathering. S</em><span style=""font-size:13.3333339691162px"">trangers and friends convene in the Island light. Shot and hand-processed at Artscape Gibraltar Point in June 2014.&nbsp;</span><span style=""font-size:13.3333339691162px"">Starring: Amber Christensen, Nisha Platzer, Karen Polowick, Caitlin Woelfle-O'Brien &amp; friends.</span></p><p dir=""ltr""><strong>Film</strong></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/547e3043e4b06072143b5e2c/1417556035874/ZoeHJ.jpg?format=300w
Glenn O'Brien & The TV Party Story,07:30,09:00,Blk Box,Film,"<p><em>Documentary Film. </em>&nbsp;From 1978 to 1982, Glenn O'Brien hosted a New York city public access cable TV show called TV Party. Co-hosted by Chris Stein, from Blondie, and directed by filmmaker Amos Poe, the hour long show took television where it had never gone before: to the edge of civility and ""sub-realism"" as Glenn would put it. Walter Steding and his TV Party ""Orchestra"" provided a musical accompaniment to the madness at hand, and many artists and musicians, from The Clash, Nile Rodgers, Jean-Michel Basquiat, David Bryne and Arto Lindsey were regular guests. It was the cocktail party that could be a political party.<br /><br />With 80 hours of disintegrating 3/4 inch videotape as a starting point, we tracked down the trend setting participants still living today and found out what they remember of the period and how the show influenced their lives. This, combined with clips from the orginal show, became the documentary ""TV Party.</p><p><strong>Film:&nbsp;</strong><a target=""_blank"" href=""https://vimeo.com/20379034"">Trailer</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5485ee9de4b0e6613e2ca91a/1418063517854/tvparty.jpg?format=300w
Kanga Aussie Pies,,,Main Hall,Food,"<p><span>Kanga is Toronto's first Australian-style meat pie shop. Kanga Aussie pies come in our signature all-butter flakey pastry, and are filled with saucy savoury fillings. The best part is that they are handheld --you can eat them right out of the bag, like a hamburger!</span></p><p><strong>Food: </strong><a target=""_blank"" href=""http://www.eatkanga.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5485ee38e4b09904f1c0e32c/1418063417442/kanga.jpg?format=300w
Tasseomancy's Psychedelic Tea Station,,,Studio 3,Food,"<p>Offering you our classic brews, including primordial lifetime favourite, (Long) Winter Blood Tea. Sips so lifting, you'll hug your heart stone all night long.&nbsp;</p><p><strong style=""background-color:rgba(255, 255, 255, 0); line-height:1.68em"">Food:&nbsp;</strong><a target=""_blank"" style=""line-height: 1.68em; background-color: rgba(255, 255, 255, 0);"" href=""http://tasseoblog.tumblr.com"">Website</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/5487ba7ae4b05c1d23994712/1418181242820/tasseo.jpg?format=300w
Droid,11:00,11:30,Conversation Room,Music,"<p>Toronto metal</p><p><strong>Music:&nbsp;</strong><a target=""_blank"" href=""https://www.facebook.com/DroidDroidDroid"">Facebook</a></p>",http://static.squarespace.com/static/53ed9849e4b07b4e476bd1f5/t/548a0899e4b0a89689917bd8/1418332313839/droid.jpg?format=300w
